GO.ID,GO_full_name
GO:0016301,kinase activity
GO:0016310,phosphorylation
GO:0046854,phosphatidylinositol phosphorylation
GO:0008340,determination of adult lifespan
GO:0019901,protein kinase binding
GO:0040024,dauer larval development
GO:0005942,phosphatidylinositol 3-kinase complex
GO:0008286,insulin receptor signaling pathway
GO:0035014,phosphatidylinositol 3-kinase regulator activity
GO:0043551,regulation of phosphatidylinositol 3-kinase activity
GO:0046935,1-phosphatidylinositol-3-kinase regulator activity
GO:0016020,membrane
GO:0016021,integral component of membrane
GO:0005886,plasma membrane
GO:0003333,amino acid transmembrane transport
GO:0015171,amino acid transmembrane transporter activity
GO:0005887,integral component of plasma membrane
GO:0015297,antiporter activity
GO:0015179,L-amino acid transmembrane transporter activity
GO:0015807,L-amino acid transport
GO:1902475,L-alpha-amino acid transmembrane transport
GO:1990184,amino acid transport complex
GO:0022857,transmembrane transporter activity
GO:0055085,transmembrane transport
,
GO:0009986,cell surface
GO:0005576,extracellular region
GO:0098542,defense response to other organism
GO:0050829,defense response to Gram-negative bacterium
GO:0050832,defense response to fungus
GO:0003674,molecular_function
GO:0050830,defense response to Gram-positive bacterium
GO:0031640,killing of cells of other organism
GO:0042742,defense response to bacterium
GO:0004672,protein kinase activity
GO:0005524,ATP binding
GO:0006468,protein phosphorylation
GO:0000166,nucleotide binding
GO:0016740,transferase activity
GO:0005737,cytoplasm
GO:0004713,protein tyrosine kinase activity
GO:0004715,non-membrane spanning protein tyrosine kinase activity
GO:0005102,signaling receptor binding
GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway
GO:0030154,cell differentiation
GO:0031234,extrinsic component of cytoplasmic side of plasma membrane
GO:0038083,peptidyl-tyrosine autophosphorylation
GO:0042127,regulation of cell proliferation
GO:0045087,innate immune response
GO:0005515,protein binding
GO:0007283,spermatogenesis
GO:0030336,negative regulation of cell migration
GO:0043066,negative regulation of apoptotic process
GO:0000077,DNA damage checkpoint
GO:0043518,"negative regulation of DNA damage response, signal transduction by p53 class mediator"
GO:0010212,response to ionizing radiation
GO:1901075,negative regulation of engulfment of apoptotic cell
GO:0006810,transport
GO:0005215,transporter activity
GO:0043231,intracellular membrane-bounded organelle
GO:0016887,ATPase activity
GO:0042626,"ATPase activity, coupled to transmembrane movement of substances"
GO:0006869,lipid transport
GO:0016246,RNA interference
GO:0030968,endoplasmic reticulum unfolded protein response
GO:0030176,integral component of endoplasmic reticulum membrane
GO:0060465,pharynx development
GO:0030054,cell junction
GO:0045202,synapse
GO:0016787,hydrolase activity
GO:0052689,carboxylic ester hydrolase activity
GO:0005615,extracellular space
GO:0040012,regulation of locomotion
GO:0042802,identical protein binding
GO:0004104,cholinesterase activity
GO:0001507,acetylcholine catabolic process in synaptic cleft
GO:0003990,acetylcholinesterase activity
GO:0006581,acetylcholine catabolic process
GO:0043083,synaptic cleft
