GO.ID,GO_full_name
,
GO:0016020,membrane
GO:0016021,integral component of membrane
GO:0003674,molecular_function
GO:0016491,oxidoreductase activity
GO:0055114,oxidation-reduction process
GO:0042493,response to drug
GO:0005739,mitochondrion
GO:0014070,response to organic cyclic compound
GO:0043025,neuronal cell body
GO:0005743,mitochondrial inner membrane
GO:0070469,respiratory chain
GO:0030425,dendrite
GO:0009060,aerobic respiration
GO:0003954,NADH dehydrogenase activity
GO:0008137,NADH dehydrogenase (ubiquinone) activity
GO:0033194,response to hydroperoxide
GO:0005747,mitochondrial respiratory chain complex I
GO:0031966,mitochondrial membrane
GO:0008150,biological_process
GO:0014069,postsynaptic density
GO:0006120,"mitochondrial electron transport, NADH to ubiquinone"
GO:0019901,protein kinase binding
GO:0035255,ionotropic glutamate receptor binding
GO:0046872,metal ion binding
GO:0007568,aging
GO:0022900,electron transport chain
GO:0020037,heme binding
GO:0021549,cerebellum development
GO:0006979,response to oxidative stress
GO:1902600,proton transmembrane transport
GO:0051602,response to electrical stimulus
GO:0004129,cytochrome-c oxidase activity
GO:0005751,mitochondrial respiratory chain complex IV
GO:0006123,"mitochondrial electron transport, cytochrome c to oxygen"
GO:0046688,response to copper ion
GO:0045277,respiratory chain complex IV
GO:0006119,oxidative phosphorylation
GO:0015990,electron transport coupled proton transport
GO:0005750,mitochondrial respiratory chain complex III
GO:0005575,cellular_component
GO:0007595,lactation
GO:0005507,copper ion binding
GO:2001171,positive regulation of ATP biosynthetic process
GO:0010940,positive regulation of necrotic cell death
GO:0009409,response to cold
GO:0010729,positive regulation of hydrogen peroxide biosynthetic process
GO:0042773,ATP synthesis coupled electron transport
GO:0006811,ion transport
GO:0016887,ATPase activity
GO:0015078,proton transmembrane transporter activity
GO:0015986,ATP synthesis coupled proton transport
GO:0005753,mitochondrial proton-transporting ATP synthase complex
GO:0006754,ATP biosynthetic process
GO:0045263,"proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0055093,response to hyperoxia
GO:0000276,"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)"
GO:0055085,transmembrane transport
GO:0022904,respiratory electron transport chain
GO:0009055,electron transfer activity
GO:0015002,heme-copper terminal oxidase activity
GO:0015453,oxidoreduction-driven active transmembrane transporter activity
GO:0008535,respiratory chain complex IV assembly
GO:0019646,aerobic electron transport chain
GO:0071385,cellular response to glucocorticoid stimulus
GO:0030964,NADH dehydrogenase complex
GO:0009725,response to hormone
GO:0009642,response to light intensity
GO:0016651,"oxidoreductase activity, acting on NAD(P)H"
GO:0001666,response to hypoxia
GO:0045471,response to ethanol
GO:0048039,ubiquinone binding
GO:0001701,in utero embryonic development
GO:0035094,response to nicotine
GO:0042542,response to hydrogen peroxide
GO:0010243,response to organonitrogen compound
GO:0043005,neuron projection
GO:0042220,response to cocaine
GO:0007584,response to nutrient
GO:0032991,protein-containing complex
GO:0046686,response to cadmium ion
GO:0044877,protein-containing complex binding
GO:0009636,response to toxic substance
GO:0031100,animal organ regeneration
GO:0033762,response to glucagon
GO:0008121,ubiquinol-cytochrome-c reductase activity
GO:0006122,"mitochondrial electron transport, ubiquinol to cytochrome c"
GO:0031305,integral component of mitochondrial inner membrane
GO:0051592,response to calcium ion
GO:0009408,response to heat
GO:0033590,response to cobalamin
GO:0042538,hyperosmotic salinity response
GO:0046689,response to mercury ion
GO:0045275,respiratory chain complex III
GO:0008270,zinc ion binding
GO:0051087,chaperone binding
GO:0006457,protein folding
GO:0030150,protein import into mitochondrial matrix
GO:0050821,protein stabilization
GO:0005654,nucleoplasm
GO:0005634,nucleus
GO:0006355,"regulation of transcription, DNA-templated"
GO:0003700,DNA-binding transcription factor activity
GO:0003676,nucleic acid binding
GO:0005622,intracellular
GO:0032465,regulation of cytokinesis
GO:0045724,positive regulation of cilium assembly
GO:1903566,positive regulation of protein localization to cilium
GO:1990126,"retrograde transport, endosome to plasma membrane"
GO:0005768,endosome
GO:0005769,early endosome
GO:0005813,centrosome
GO:0030496,midbody
GO:0030904,retromer complex
GO:0036064,ciliary basal body
GO:0055037,recycling endosome
GO:0005737,cytoplasm
GO:0000166,nucleotide binding
GO:0005524,ATP binding
GO:0005515,protein binding
GO:0003777,microtubule motor activity
GO:0007018,microtubule-based movement
GO:0008017,microtubule binding
GO:0007283,spermatogenesis
GO:0005856,cytoskeleton
GO:0005874,microtubule
GO:0051301,cell division
GO:0005871,kinesin complex
GO:0090307,mitotic spindle assembly
GO:0007049,cell cycle
GO:0005815,microtubule organizing center
GO:0005819,spindle
GO:0072686,mitotic spindle
GO:0007080,mitotic metaphase plate congression
GO:0003824,catalytic activity
GO:0005975,carbohydrate metabolic process
GO:0005829,cytosol
GO:0043231,intracellular membrane-bounded organelle
GO:0016857,"racemase and epimerase activity, acting on carbohydrates and derivatives"
GO:0004750,ribulose-phosphate 3-epimerase activity
GO:0030246,carbohydrate binding
GO:0048029,monosaccharide binding
GO:0006098,pentose-phosphate shunt
GO:0009052,"pentose-phosphate shunt, non-oxidative branch"
GO:0019323,pentose catabolic process
GO:0044262,cellular carbohydrate metabolic process
GO:0016853,isomerase activity
GO:1903508,positive regulation of nucleic acid-templated transcription
GO:0003713,transcription coactivator activity
GO:0042802,identical protein binding
GO:0006275,regulation of DNA replication
GO:0007346,regulation of mitotic cell cycle
GO:0044458,motile cilium assembly
GO:0016604,nuclear body
GO:0005886,plasma membrane
GO:0009966,regulation of signal transduction
GO:0062023,collagen-containing extracellular matrix
GO:0016477,cell migration
GO:0098696,regulation of neurotransmitter receptor localization to postsynaptic specialization membrane
GO:0031225,anchored component of membrane
GO:0046658,anchored component of plasma membrane
GO:0098978,glutamatergic synapse
GO:0016740,transferase activity
GO:0008146,sulfotransferase activity
GO:0004222,metalloendopeptidase activity
GO:0008237,metallopeptidase activity
GO:0006508,proteolysis
GO:0007229,integrin-mediated signaling pathway
GO:0016787,hydrolase activity
GO:0005783,endoplasmic reticulum
GO:0007155,cell adhesion
GO:0045104,intermediate filament cytoskeleton organization
GO:0008092,cytoskeletal protein binding
GO:0042995,cell projection
GO:0005635,nuclear envelope
GO:0051082,unfolded protein binding
GO:0030054,cell junction
GO:0045202,synapse
GO:0019894,kinesin binding
GO:0030659,cytoplasmic vesicle membrane
GO:0031410,cytoplasmic vesicle
GO:0031175,neuron projection development
GO:0042406,extrinsic component of endoplasmic reticulum membrane
GO:0051260,protein homooligomerization
GO:0008021,synaptic vesicle
GO:0030426,growth cone
GO:0072321,chaperone-mediated protein transport
GO:0061077,chaperone-mediated protein folding
GO:0030133,transport vesicle
GO:0005788,endoplasmic reticulum lumen
GO:2000008,regulation of protein localization to cell surface
GO:0005637,nuclear inner membrane
GO:0044319,"wound healing, spreading of cells"
GO:0030141,secretory granule
GO:0048489,synaptic vesicle transport
GO:0034504,protein localization to nucleus
GO:0051085,chaperone cofactor-dependent protein refolding
GO:0006998,nuclear envelope organization
GO:0000338,protein deneddylation
GO:0051787,misfolded protein binding
GO:0006996,organelle organization
GO:0051584,regulation of dopamine uptake involved in synaptic transmission
GO:0071712,ER-associated misfolded protein catabolic process
GO:0071763,nuclear membrane organization
GO:1900244,positive regulation of synaptic vesicle endocytosis
GO:0031965,nuclear membrane
GO:0005085,guanyl-nucleotide exchange factor activity
GO:0046983,protein dimerization activity
GO:1903232,melanosome assembly
GO:0031085,BLOC-3 complex
GO:0048024,"regulation of mRNA splicing, via spliceosome"
